channel,message_id,subscribers,channel_type,published_at,checkpoint_min,measured_at,actual_age_min,views,reactions,forwards,source
varzesh3,298647,1296734,sport,2026-08-01T11:47:09+00:00,30,2026-08-01T12:19:37.841684+00:00,32.36,31396,0,1,telegram
varzesh3,298647,1296734,sport,2026-08-01T11:47:09+00:00,1440,2026-08-02T12:50:54.740532+00:00,1503.66,191112,0,107,telegram
tweetychannel,409179,775987,social_entertainment,2026-08-01T11:47:12+00:00,30,2026-08-01T12:19:44.678005+00:00,32.31,8083,173,1,telegram
tweetychannel,409179,775987,social_entertainment,2026-08-01T11:47:12+00:00,1440,2026-08-02T12:51:11.418616+00:00,1503.61,18818,364,35,telegram
digiato,110962,111086,technology,2026-08-01T11:50:16+00:00,30,2026-08-01T12:20:53.143078+00:00,30.58,1682,15,31,telegram
digiato,110962,111086,technology,2026-08-01T11:50:16+00:00,1440,2026-08-02T12:50:48.991647+00:00,1500.54,8283,40,93,telegram
eghtesadonline,354008,75239,economy,2026-08-01T11:50:23+00:00,30,2026-08-01T12:20:59.453609+00:00,30.47,1828,3,2,telegram
eghtesadonline,354008,75239,economy,2026-08-01T11:50:23+00:00,1440,2026-08-02T12:50:58.943856+00:00,1500.43,6530,7,4,telegram
tweetychannel,409181,775987,social_entertainment,2026-08-01T11:53:04+00:00,30,2026-08-01T12:24:11.346075+00:00,30.88,7090,215,2,telegram
tweetychannel,409181,775987,social_entertainment,2026-08-01T11:53:04+00:00,1440,2026-08-02T12:51:10.045495+00:00,1497.74,19663,474,37,telegram
tweetychannel,409182,775987,social_entertainment,2026-08-01T11:53:10+00:00,30,2026-08-01T12:24:11.344451+00:00,30.78,8101,211,69,telegram
tweetychannel,409182,775987,social_entertainment,2026-08-01T11:53:10+00:00,1440,2026-08-02T12:51:08.677512+00:00,1497.64,20594,468,167,telegram
tweetychannel,409183,775987,social_entertainment,2026-08-01T11:54:12+00:00,30,2026-08-01T12:25:32.601474+00:00,31.1,7104,159,0,telegram
tweetychannel,409183,775987,social_entertainment,2026-08-01T11:54:12+00:00,1440,2026-08-02T12:51:07.317486+00:00,1496.61,19443,339,69,telegram
tweetychannel,409184,775987,social_entertainment,2026-08-01T11:55:21+00:00,30,2026-08-01T12:28:35.854999+00:00,31.3,7106,262,34,telegram
tweetychannel,409184,775987,social_entertainment,2026-08-01T11:55:21+00:00,1440,2026-08-02T12:51:05.980519+00:00,1495.46,18606,501,69,telegram
eghtesadonline,354010,75239,economy,2026-08-01T11:55:40+00:00,30,2026-08-01T12:28:13.930423+00:00,30.98,2080,22,13,telegram
eghtesadonline,354010,75239,economy,2026-08-01T11:55:40+00:00,1440,2026-08-02T12:50:57.606238+00:00,1495.14,6765,50,25,telegram
aa_persian,127779,7936,international_news,2026-08-01T11:56:39+00:00,20,2026-08-01T12:19:48.184541+00:00,22.86,78,0,0,telegram
aa_persian,127779,7936,international_news,2026-08-01T11:56:39+00:00,1440,2026-08-02T12:51:14.271019+00:00,1494.16,418,0,0,telegram
footballiapp,492975,49781,sport,2026-08-01T11:58:02+00:00,20,2026-08-01T12:19:36.356369+00:00,21.48,397,3,2,telegram
footballiapp,492975,49781,sport,2026-08-01T11:58:02+00:00,1440,2026-08-02T12:50:53.247788+00:00,1492.78,1677,15,4,telegram
tweetychannel,409185,775987,social_entertainment,2026-08-01T12:01:09+00:00,20,2026-08-01T12:22:50.718512+00:00,21.08,6069,31,1,telegram
tweetychannel,409185,775987,social_entertainment,2026-08-01T12:01:09+00:00,1440,2026-08-02T12:51:04.617506+00:00,1489.66,20594,122,86,telegram
tweetychannel,409186,775987,social_entertainment,2026-08-01T12:01:11+00:00,20,2026-08-01T12:22:50.718469+00:00,21.05,6072,172,69,telegram
